ID_MOEDA;DATA_REF;VL_COTACAO
CLP;2020-03-02;3,625921249
GBP;2020-10-19;7,604653001
OMR;2020-08-28;4,184183359
CZK;2020-06-24;4,355027974
JPY;2020-07-13;6,781183302
ISK;2020-03-27;3,002872109
UGX;2020-05-08;2,712951005
BYN;2020-02-21;4,274178326
ZAR;2020-03-10;4,09812206
UGX;2020-01-16;4,469779015
EUR;2020-03-13;2,856516123
MGA;2020-01-02;7,258736789
ALL;2020-05-26;7,712726653
DZD;2020-04-10;6,729457736
CDF;2020-07-14;4,827507079
MGA;2020-04-10;7,521431804
PGK;2020-03-20;2,258453786
KES;2020-03-31;5,249435544
LSL;2020-09-03;1,232539117
NOK;2020-05-14;1,98473841
GBP;2020-07-09;3,016907811
MGA;2020-10-23;2,156761289
EGP;2020-08-21;7,650000334
DZD;2020-01-13;3,330688357
AFN;2020-10-02;4,713973939
ILS;2020-05-13;7,791254818
XDR;2020-10-15;6,232788742
SLL;2020-07-16;7,387719214
AFN;2020-09-11;7,925695896
TRY;2020-03-23;4,341883481
MGA;2020-07-15;2,433106065
CZK;2020-03-03;7,036403179
SLL;2020-07-13;7,823751807
LSL;2020-06-26;4,140725255
COP;2020-04-29;6,968784392
GEL;2020-08-17;2,459938288
TTD;2020-02-05;3,323920429
ILS;2020-01-08;7,391007841
CZK;2020-02-04;2,375406981
CUP;2020-01-06;4,297703564
MRU;2020-07-14;5,014655888
OMR;2020-04-24;4,806426406
MUR;2020-07-02;5,62039113
GEL;2020-07-09;1,263665497
CRC;2020-06-12;2,781763077
OMR;2020-02-10;4,58429265
SZL;2020-09-11;7,00892967
GEL;2020-09-30;4,115850687
THB;2020-10-21;3,901961446
NIO;2020-09-01;5,600482464
HTG;2020-10-16;6,165441155
XAU;2020-03-10;7,595012844
XAU;2020-08-12;1,379205108
EGP;2020-03-23;3,845262468
GBP;2020-09-23;6,057764292
AWG;2020-10-07;4,843017697
MXN;2020-07-09;1,632823229
IRR;2020-03-02;4,464518547
MGB;2020-04-27;7,293955803
MGA;2020-09-30;7,841381133
PGK;2020-05-29;2,351961434
AWG;2020-02-17;5,090020597
MXN;2020-03-16;2,475385487
THB;2020-09-24;4,923790157
CZK;2020-10-08;2,607122481
SBD;2020-05-08;5,029427171
CZK;2020-01-20;4,525479138
XPF;2020-10-27;7,533078015
XPF;2020-10-08;1,375881433
FJD;2020-10-02;6,037581921
THB;2020-01-29;1,288033962
CDF;2020-04-15;3,354656279
VUV;2020-05-28;7,231149375
KMF;2020-01-15;2,755666435
ALL;2020-08-05;3,159565449
LSL;2020-06-12;1,851873636
TTD;2020-10-13;4,031250119
PGK;2020-09-22;2,821519077
VUV;2020-04-30;5,720579088
CRC;2020-04-30;1,500520051
CUP;2020-10-08;5,462632596
CDF;2020-07-28;4,741374433
KMF;2020-09-25;7,764034569
THB;2020-01-08;4,246053517
ZWL;2020-05-11;5,159560323
KMF;2020-08-12;1,391592324
NOK;2020-02-26;4,26718384
GBP;2020-09-11;2,717203856
SGD;2020-08-13;6,183579087
SGD;2020-08-04;7,495733202
SSP;2020-05-07;2,143722355
MRO;2020-01-16;1,954290032
VUV;2020-04-09;1,603268147
ZWL;2020-02-26;6,116480172
MRU;2020-06-05;4,679866433
JPY;2020-10-15;5,688416302
AFN;2020-01-21;3,014245033
SOS;2020-08-03;7,02868104
JPY;2020-01-07;4,581324041
RON;2020-09-16;5,219471991
CAD;2020-09-10;1,105204344
DJF;2020-01-15;2,769774735
PEN;2020-02-20;2,062982023
ZWL;2020-01-29;3,776905596
EUR;2020-04-03;5,201536834
COP;2020-06-09;1,934131026
UYU;2020-04-30;7,128132164
CUP;2020-01-30;7,583614051
MRU;2020-01-22;3,726370394
SAR;2020-03-18;1,383589387
GEL;2020-10-02;6,454846978
XPF;2020-08-20;1,843982518
CVE;2020-04-27;5,217768431
XDR;2020-08-25;4,334054112
XPF;2020-10-01;1,036740243
OMR;2020-05-08;4,25598073
KES;2020-04-27;2,510533154
